Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2015 to 2020,180,50-54,36,21,15,37,23,14,
2015 to 2020,180,55-59,30,17,13,39,24,15,
2015 to 2020,180,60-64,20,10,10,30,15,15,
2015 to 2020,180,65-69,13,7,6,25,16,9,
2015 to 2020,180,70-74,10,6,4,13,7,6,
2015 to 2020,180,75-79,4,2,2,5,3,2,
2015 to 2020,180,80-84,3,1,2,5,2,3,
2015 to 2020,180,85-89,2,1,1,3,2,1,
2015 to 2020,180,90+,0,0,0,2,0,2,
2015 to 2020,185,Total,596,322,274,723,398,325,
2015 to 2020,185,0-4,64,32,32,59,29,30,
2015 to 2020,185,5-9,50,24,26,58,28,30,
2015 to 2020,185,10-14,47,22,25,48,25,23,
2015 to 2020,185,15-19,40,22,18,65,35,30,
2015 to 2020,185,20-24,57,32,25,65,36,29,
2015 to 2020,185,25-29,73,41,32,78,48,30,
2015 to 2020,185,30-34,56,33,23,69,41,28,
2015 to 2020,185,35-39,42,26,16,48,30,18,
2015 to 2020,185,40-44,26,13,13,32,19,13,
2015 to 2020,185,45-49,33,18,15,35,17,18,
2015 to 2020,185,50-54,35,20,15,43,24,19,
2015 to 2020,185,55-59,29,16,13,43,23,20,
2015 to 2020,185,60-64,20,11,9,38,21,17,
2015 to 2020,185,65-69,11,6,5,21,11,10,
2015 to 2020,185,70-74,6,3,3,12,8,4,
2015 to 2020,185,75-79,3,1,2,6,2,4,
2015 to 2020,185,80-84,2,1,1,2,1,1,
2015 to 2020,185,85-89,2,1,1,1,0,1,
2015 to 2020,185,90+,0,0,0,0,0,0,
2015 to 2020,188,Total,524,293,231,693,372,321,
2015 to 2020,188,0-4,60,33,27,71,34,37,
2015 to 2020,188,5-9,50,24,26,60,29,31,
2015 to 2020,188,10-14,33,18,15,49,26,23,
2015 to 2020,188,15-19,36,19,17,57,27,30,
2015 to 2020,188,20-24,55,29,26,79,39,40,
2015 to 2020,188,25-29,63,33,30,81,45,36,
2015 to 2020,188,30-34,48,30,18,66,40,26,
2015 to 2020,188,35-39,33,21,12,41,23,18,
2015 to 2020,188,40-44,30,18,12,33,21,12,
2015 to 2020,188,45-49,25,15,10,28,16,12,
2015 to 2020,188,50-54,26,16,10,33,19,14,
2015 to 2020,188,55-59,23,14,9,33,19,14,
2015 to 2020,188,60-64,18,11,7,25,15,10,
2015 to 2020,188,65-69,8,5,3,16,10,6,
2015 to 2020,188,70-74,5,3,2,10,5,5,
2015 to 2020,188,75-79,4,2,2,5,2,3,
2015 to 2020,188,80-84,3,1,2,2,1,1,
2015 to 2020,188,85-89,2,0,2,3,1,2,
2015 to 2020,188,90+,2,1,1,1,0,1,
2015 to 2020,195,Total,221,119,102,229,128,101,
2015 to 2020,195,0-4,22,12,10,17,11,6,
2015 to 2020,195,5-9,14,6,8,14,7,7,
2015 to 2020,195,10-14,12,6,6,9,5,4,
2015 to 2020,195,15-19,10,5,5,15,8,7,
2015 to 2020,195,20-24,18,9,9,32,17,15,
2015 to 2020,195,25-29,28,15,13,22,12,10,
2015 to 2020,195,30-34,24,15,9,21,12,9,
2015 to 2020,195,35-39,16,9,7,15,9,6,
2015 to 2020,195,40-44,11,6,5,12,8,4,
2015 to 2020,195,45-49,11,6,5,11,6,5,
2015 to 2020,195,50-54,11,6,5,11,6,5,
2015 to 2020,195,55-59,12,7,5,13,6,7,
2015 to 2020,195,60-64,9,5,4,14,7,7,
2015 to 2020,195,65-69,9,5,4,11,7,4,
2015 to 2020,195,70-74,4,2,2,5,3,2,
2015 to 2020,195,75-79,5,3,2,4,2,2,
2015 to 2020,195,80-84,2,1,1,2,1,1,
2015 to 2020,195,85-89,2,1,1,0,0,0,
2015 to 2020,195,90+,1,0,1,1,1,0,
2015 to 2020,198,Total,486,280,206,578,330,248,
2015 to 2020,198,0-4,49,26,23,38,23,15,
2015 to 2020,198,5-9,33,16,17,37,18,19,
2015 to 2020,198,10-14,28,15,13,36,19,17,
2015 to 2020,198,15-19,26,18,8,47,26,21,
2015 to 2020,198,20-24,38,20,18,60,33,27,
2015 to 2020,198,25-29,46,24,22,52,30,22,
2015 to 2020,198,30-34,48,26,22,41,24,17,
2015 to 2020,198,35-39,32,21,11,42,25,17,
2015 to 2020,198,40-44,27,17,10,31,19,12,
2015 to 2020,198,45-49,27,16,11,33,17,16,
