Period,Borough/Census Area FIPS,Age,In_Total,In_Male,In_Female,Out_Total,Out_Male,Out_Female,Data from: https://live.laborstats.alaska.gov/pop/migration/PFDMigrationByAgeBySexBCA.xls via https://live.laborstats.alaska.gov/pop/migration.html February 2023.
2000 to 2005,068,Total,198,115,83,236,136,100,
2000 to 2005,068,0-4,10,4,6,12,6,6,
2000 to 2005,068,5-9,11,5,6,10,4,6,
2000 to 2005,068,10-14,13,8,5,11,7,4,
2000 to 2005,068,15-19,14,8,6,23,12,11,
2000 to 2005,068,20-24,17,10,7,26,13,13,
2000 to 2005,068,25-29,21,11,10,18,10,8,
2000 to 2005,068,30-34,26,16,10,23,15,8,
2000 to 2005,068,35-39,20,11,9,20,12,8,
2000 to 2005,068,40-44,18,12,6,24,14,10,
2000 to 2005,068,45-49,18,11,7,22,14,8,
2000 to 2005,068,50-54,15,10,5,21,13,8,
2000 to 2005,068,55-59,9,5,4,12,6,6,
2000 to 2005,068,60-64,3,2,1,9,6,3,
2000 to 2005,068,65-69,2,1,1,4,3,1,
2000 to 2005,068,70-74,1,1,0,1,1,0,
2000 to 2005,068,75-79,0,0,0,0,0,0,
2000 to 2005,068,80-84,0,0,0,0,0,0,
2000 to 2005,068,85-89,0,0,0,0,0,0,
2000 to 2005,068,90+,0,0,0,0,0,0,
2000 to 2005,070,Total,363,194,169,456,247,209,
2000 to 2005,070,0-4,41,21,20,43,27,16,
2000 to 2005,070,5-9,32,17,15,37,17,20,
2000 to 2005,070,10-14,30,14,16,44,22,22,
2000 to 2005,070,15-19,27,13,14,41,21,20,
2000 to 2005,070,20-24,31,16,15,49,25,24,
2000 to 2005,070,25-29,40,22,18,40,20,20,
2000 to 2005,070,30-34,37,21,16,39,24,15,
2000 to 2005,070,35-39,33,21,12,35,20,15,
2000 to 2005,070,40-44,28,15,13,36,21,15,
2000 to 2005,070,45-49,18,9,9,27,15,12,
2000 to 2005,070,50-54,21,11,10,29,13,16,
2000 to 2005,070,55-59,11,6,5,16,11,5,
2000 to 2005,070,60-64,8,5,3,9,5,4,
2000 to 2005,070,65-69,2,1,1,6,4,2,
2000 to 2005,070,70-74,1,1,0,3,2,1,
2000 to 2005,070,75-79,1,0,1,2,1,1,
2000 to 2005,070,80-84,2,1,1,0,-1,1,
2000 to 2005,070,85-89,0,0,0,0,0,0,
2000 to 2005,070,90+,0,0,0,0,0,0,
2000 to 2005,090,Total,9028,4768,4260,8773,4646,4127,
2000 to 2005,090,0-4,1106,565,541,976,497,479,
2000 to 2005,090,5-9,847,423,424,810,407,403,
2000 to 2005,090,10-14,665,332,333,689,347,342,
2000 to 2005,090,15-19,531,276,255,605,314,291,
2000 to 2005,090,20-24,1256,668,588,1114,597,517,
2000 to 2005,090,25-29,1228,646,582,1054,559,495,
2000 to 2005,090,30-34,978,533,445,923,494,429,
2000 to 2005,090,35-39,738,406,332,728,407,321,
2000 to 2005,090,40-44,552,304,248,567,307,260,
2000 to 2005,090,45-49,385,219,166,400,219,181,
2000 to 2005,090,50-54,281,156,125,321,176,145,
2000 to 2005,090,55-59,186,101,85,232,127,105,
2000 to 2005,090,60-64,104,59,45,147,81,66,
2000 to 2005,090,65-69,64,36,28,88,52,36,
2000 to 2005,090,70-74,38,18,20,51,28,23,
2000 to 2005,090,75-79,25,10,15,22,13,9,
2000 to 2005,090,80-84,25,10,15,23,10,13,
2000 to 2005,090,85-89,12,3,9,15,5,10,
2000 to 2005,090,90+,7,3,4,8,6,2,
2000 to 2005,100,Total,225,124,101,244,130,114,
2000 to 2005,100,0-4,21,12,9,14,8,6,
2000 to 2005,100,5-9,13,7,6,14,7,7,
2000 to 2005,100,10-14,13,7,6,14,7,7,
2000 to 2005,100,15-19,11,7,4,23,14,9,
2000 to 2005,100,20-24,19,8,11,33,17,16,
2000 to 2005,100,25-29,23,11,12,25,12,13,
2000 to 2005,100,30-34,19,11,8,15,8,7,
2000 to 2005,100,35-39,20,10,10,16,8,8,
2000 to 2005,100,40-44,18,12,6,18,10,8,
2000 to 2005,100,45-49,19,11,8,19,11,8,
2000 to 2005,100,50-54,18,10,8,17,9,8,
2000 to 2005,100,55-59,13,7,6,14,7,7,
2000 to 2005,100,60-64,8,5,3,7,4,3,
2000 to 2005,100,65-69,4,3,1,5,3,2,
2000 to 2005,100,70-74,3,2,1,4,2,2,
2000 to 2005,100,75-79,2,1,1,3,2,1,
2000 to 2005,100,80-84,0,0,0,2,1,1,
2000 to 2005,100,85-89,1,0,1,1,0,1,
2000 to 2005,100,90+,0,0,0,0,0,0,
2000 to 2005,105,Total,234,132,102,307,172,135,
2000 to 2005,105,0-4,14,8,6,20,9,11,
2000 to 2005,105,5-9,15,6,9,17,7,10,
2000 to 2005,105,10-14,12,6,6,18,9,9,
2000 to 2005,105,15-19,19,10,9,27,15,12,
2000 to 2005,105,20-24,24,12,12,41,21,20,
2000 to 2005,105,25-29,20,11,9,19,11,8,
2000 to 2005,105,30-34,17,11,6,22,14,8,
2000 to 2005,105,35-39,18,11,7,22,14,8,
2000 to 2005,105,40-44,23,13,10,25,14,11,
2000 to 2005,105,45-49,25,15,10,29,18,11,
2000 to 2005,105,50-54,21,13,8,23,14,9,
2000 to 2005,105,55-59,13,9,4,18,10,8,
2000 to 2005,105,60-64,6,3,3,12,7,5,
2000 to 2005,105,65-69,3,2,1,6,4,2,
2000 to 2005,105,70-74,3,2,1,4,3,1,
2000 to 2005,105,75-79,1,0,1,2,1,1,
2000 to 2005,105,80-84,0,0,0,2,1,1,
2000 to 2005,105,85-89,0,0,0,0,0,0,
2000 to 2005,105,90+,0,0,0,0,0,0,
2000 to 2005,110,Total,2671,1407,1264,2794,1482,1312,
2000 to 2005,110,0-4,211,104,107,217,116,101,
2000 to 2005,110,5-9,182,93,89,174,86,88,
2000 to 2005,110,10-14,176,95,81,167,85,82,
2000 to 2005,110,15-19,174,92,82,209,107,102,
2000 to 2005,110,20-24,351,180,171,384,201,183,
2000 to 2005,110,25-29,310,164,146,279,149,130,
2000 to 2005,110,30-34,273,145,128,232,125,107,
2000 to 2005,110,35-39,230,130,100,219,126,93,
2000 to 2005,110,40-44,206,115,91,207,111,96,
2000 to 2005,110,45-49,186,100,86,202,109,93,
2000 to 2005,110,50-54,144,77,67,173,92,81,
2000 to 2005,110,55-59,95,49,46,146,77,69,
2000 to 2005,110,60-64,54,28,26,78,46,32,
2000 to 2005,110,65-69,30,15,15,43,22,21,
2000 to 2005,110,70-74,17,7,10,22,10,12,
2000 to 2005,110,75-79,13,6,7,17,9,8,
2000 to 2005,110,80-84,10,4,6,14,7,7,
2000 to 2005,110,85-89,6,2,4,6,1,5,
2000 to 2005,110,90+,3,1,2,5,3,2,
2000 to 2005,122,Total,4303,2305,1998,4251,2298,1953,
2000 to 2005,122,0-4,380,195,185,305,149,156,
2000 to 2005,122,5-9,302,152,150,264,137,127,
2000 to 2005,122,10-14,294,147,147,257,133,124,
2000 to 2005,122,15-19,283,153,130,401,193,208,
2000 to 2005,122,20-24,453,250,203,661,366,295,
2000 to 2005,122,25-29,428,234,194,371,216,155,
2000 to 2005,122,30-34,375,207,168,317,182,135,
2000 to 2005,122,35-39,330,182,148,274,161,113,
2000 to 2005,122,40-44,346,193,153,307,171,136,
2000 to 2005,122,45-49,300,163,137,299,159,140,
2000 to 2005,122,50-54,262,139,123,263,148,115,
2000 to 2005,122,55-59,197,110,87,201,112,89,
2000 to 2005,122,60-64,145,77,68,121,65,56,
2000 to 2005,122,65-69,79,44,35,71,37,34,
2000 to 2005,122,70-74,54,30,24,56,32,24,
2000 to 2005,122,75-79,31,16,15,38,19,19,
2000 to 2005,122,80-84,24,8,16,25,10,15,
2000 to 2005,122,85-89,13,4,9,15,6,9,
2000 to 2005,122,90+,7,1,6,5,2,3,
2000 to 2005,130,Total,1161,635,526,1380,741,639,
2000 to 2005,130,0-4,105,58,47,110,54,56,
2000 to 2005,130,5-9,82,40,42,92,46,46,
2000 to 2005,130,10-14,71,39,32,86,45,41,
2000 to 2005,130,15-19,85,44,41,112,55,57,
2000 to 2005,130,20-24,132,65,67,184,95,89,
2000 to 2005,130,25-29,123,69,54,117,64,53,
2000 to 2005,130,30-34,100,58,42,98,57,41,
2000 to 2005,130,35-39,97,54,43,114,63,51,
2000 to 2005,130,40-44,102,62,40,116,67,49,
2000 to 2005,130,45-49,83,49,34,108,60,48,
2000 to 2005,130,50-54,63,35,28,79,43,36,
2000 to 2005,130,55-59,45,25,20,62,37,25,
2000 to 2005,130,60-64,29,16,13,39,22,17,
2000 to 2005,130,65-69,15,9,6,25,14,11,
2000 to 2005,130,70-74,10,5,5,12,7,5,
2000 to 2005,130,75-79,6,2,4,11,5,6,
2000 to 2005,130,80-84,6,3,3,6,3,3,
2000 to 2005,130,85-89,5,1,4,6,2,4,
2000 to 2005,130,90+,2,1,1,3,2,1,
2000 to 2005,150,Total,1268,677,591,1503,801,702,
2000 to 2005,150,0-4,137,72,65,150,70,80,
2000 to 2005,150,5-9,123,60,63,120,60,60,
2000 to 2005,150,10-14,96,51,45,122,61,61,
2000 to 2005,150,15-19,84,43,41,131,63,68,
2000 to 2005,150,20-24,130,68,62,170,88,82,
2000 to 2005,150,25-29,132,65,67,126,69,57,
2000 to 2005,150,30-34,129,70,59,120,68,52,
2000 to 2005,150,35-39,119,67,52,146,83,63,
2000 to 2005,150,40-44,101,59,42,131,75,56,
2000 to 2005,150,45-49,80,45,35,93,54,39,
2000 to 2005,150,50-54,52,28,24,68,39,29,
2000 to 2005,150,55-59,37,24,13,47,29,18,
2000 to 2005,150,60-64,21,14,7,31,18,13,
2000 to 2005,150,65-69,13,7,6,20,9,11,
2000 to 2005,150,70-74,7,3,4,14,8,6,
2000 to 2005,150,75-79,3,1,2,8,5,3,
2000 to 2005,150,80-84,1,0,1,4,1,3,
2000 to 2005,150,85-89,2,0,2,2,1,1,
2000 to 2005,150,90+,1,0,1,0,0,0,
2000 to 2005,158,Total,432,243,189,557,299,258,
2000 to 2005,158,0-4,67,39,28,85,46,39,
2000 to 2005,158,5-9,43,23,20,57,30,27,
2000 to 2005,158,10-14,38,21,17,45,22,23,
2000 to 2005,158,15-19,33,18,15,53,27,26,
2000 to 2005,158,20-24,46,25,21,71,35,36,
2000 to 2005,158,25-29,54,29,25,54,30,24,
2000 to 2005,158,30-34,34,21,13,46,27,19,
2000 to 2005,158,35-39,28,17,11,32,17,15,
2000 to 2005,158,40-44,22,13,9,30,17,13,
2000 to 2005,158,45-49,19,10,9,23,14,9,
2000 to 2005,158,50-54,17,9,8,18,9,9,
2000 to 2005,158,55-59,13,8,5,19,10,9,
2000 to 2005,158,60-64,7,4,3,10,6,4,
2000 to 2005,158,65-69,4,3,1,5,4,1,
2000 to 2005,158,70-74,3,1,2,1,0,1,
2000 to 2005,158,75-79,2,1,1,2,2,0,
2000 to 2005,158,80-84,2,1,1,4,2,2,
2000 to 2005,158,85-89,0,0,0,1,1,0,
2000 to 2005,158,90+,0,0,0,1,0,1,
2000 to 2005,164,Total,169,93,76,208,109,99,
2000 to 2005,164,0-4,15,8,7,17,6,11,
2000 to 2005,164,5-9,14,7,7,21,11,10,
2000 to 2005,164,10-14,12,6,6,15,8,7,
2000 to 2005,164,15-19,13,8,5,20,9,11,
2000 to 2005,164,20-24,18,10,8,24,12,12,
2000 to 2005,164,25-29,17,9,8,16,10,6,
2000 to 2005,164,30-34,14,7,7,13,7,6,
2000 to 2005,164,35-39,12,7,5,13,7,6,
2000 to 2005,164,40-44,13,9,4,18,11,7,
2000 to 2005,164,45-49,14,8,6,16,9,7,
2000 to 2005,164,50-54,13,7,6,12,6,6,
2000 to 2005,164,55-59,7,4,3,8,4,4,
2000 to 2005,164,60-64,3,1,2,5,3,2,
2000 to 2005,164,65-69,1,1,0,3,2,1,
2000 to 2005,164,70-74,1,1,0,1,1,0,
2000 to 2005,164,75-79,1,0,1,3,1,2,
2000 to 2005,164,80-84,0,0,0,1,1,0,
2000 to 2005,164,85-89,1,0,1,1,0,1,
2000 to 2005,164,90+,0,0,0,1,1,0,
2000 to 2005,170,Total,7900,4202,3698,5503,2951,2552,
2000 to 2005,170,0-4,822,432,390,443,221,222,
2000 to 2005,170,5-9,708,369,339,381,193,188,
2000 to 2005,170,10-14,655,335,320,377,195,182,
2000 to 2005,170,15-19,547,290,257,549,282,267,
2000 to 2005,170,20-24,735,372,363,835,441,394,
2000 to 2005,170,25-29,737,388,349,462,253,209,
2000 to 2005,170,30-34,722,392,330,415,236,179,
2000 to 2005,170,35-39,658,365,293,386,211,175,
2000 to 2005,170,40-44,645,366,279,428,242,186,
2000 to 2005,170,45-49,517,287,230,383,217,166,
2000 to 2005,170,50-54,392,215,177,299,165,134,
2000 to 2005,170,55-59,274,144,130,203,110,93,
2000 to 2005,170,60-64,179,100,79,130,74,56,
2000 to 2005,170,65-69,113,60,53,87,48,39,
2000 to 2005,170,70-74,71,34,37,48,25,23,
2000 to 2005,170,75-79,61,30,31,34,16,18,
2000 to 2005,170,80-84,37,14,23,25,14,11,
2000 to 2005,170,85-89,18,5,13,12,5,7,
2000 to 2005,170,90+,9,4,5,6,3,3,
2000 to 2005,180,Total,627,333,294,725,394,331,
2000 to 2005,180,0-4,67,27,40,73,39,34,
2000 to 2005,180,5-9,48,27,21,52,27,25,
2000 to 2005,180,10-14,46,22,24,51,27,24,
2000 to 2005,180,15-19,46,26,20,76,40,36,
2000 to 2005,180,20-24,67,35,32,85,47,38,
2000 to 2005,180,25-29,73,38,35,66,34,32,
2000 to 2005,180,30-34,55,32,23,54,31,23,
2000 to 2005,180,35-39,50,28,22,57,33,24,
2000 to 2005,180,40-44,45,25,20,51,28,23,
2000 to 2005,180,45-49,45,25,20,49,30,19,
2000 to 2005,180,50-54,37,22,15,39,21,18,
2000 to 2005,180,55-59,22,13,9,28,16,12,
2000 to 2005,180,60-64,13,7,6,16,8,8,
2000 to 2005,180,65-69,5,3,2,7,4,3,
2000 to 2005,180,70-74,4,2,2,6,3,3,
2000 to 2005,180,75-79,2,1,1,4,2,2,
2000 to 2005,180,80-84,1,0,1,6,2,4,
2000 to 2005,180,85-89,0,0,0,3,1,2,
2000 to 2005,180,90+,1,0,1,2,1,1,
2000 to 2005,185,Total,499,285,214,723,408,315,
2000 to 2005,185,0-4,61,38,23,69,42,27,
2000 to 2005,185,5-9,27,13,14,52,27,25,
2000 to 2005,185,10-14,30,14,16,55,29,26,
2000 to 2005,185,15-19,42,25,17,72,37,35,
2000 to 2005,185,20-24,54,28,26,76,40,36,
2000 to 2005,185,25-29,52,30,22,60,33,27,
2000 to 2005,185,30-34,38,22,16,52,32,20,
2000 to 2005,185,35-39,40,26,14,57,35,22,
2000 to 2005,185,40-44,39,23,16,60,37,23,
2000 to 2005,185,45-49,37,24,13,55,33,22,
2000 to 2005,185,50-54,32,17,15,42,25,17,
2000 to 2005,185,55-59,22,12,10,34,18,16,
2000 to 2005,185,60-64,14,8,6,23,13,10,
2000 to 2005,185,65-69,6,3,3,7,4,3,
2000 to 2005,185,70-74,2,1,1,3,1,2,
2000 to 2005,185,75-79,1,0,1,3,1,2,
2000 to 2005,185,80-84,2,1,1,2,1,1,
2000 to 2005,185,85-89,0,0,0,0,0,0,
2000 to 2005,185,90+,0,0,0,1,0,1,
2000 to 2005,188,Total,559,306,253,643,344,299,
2000 to 2005,188,0-4,64,29,35,73,37,36,
2000 to 2005,188,5-9,48,24,24,57,26,31,
2000 to 2005,188,10-14,44,20,24,55,27,28,
2000 to 2005,188,15-19,46,26,20,55,27,28,
2000 to 2005,188,20-24,60,34,26,72,41,31,
2000 to 2005,188,25-29,59,34,25,62,35,27,
2000 to 2005,188,30-34,55,33,22,52,28,24,
2000 to 2005,188,35-39,44,27,17,52,30,22,
2000 to 2005,188,40-44,38,23,15,45,28,17,
2000 to 2005,188,45-49,34,21,13,39,23,16,
2000 to 2005,188,50-54,23,12,11,30,16,14,
2000 to 2005,188,55-59,19,10,9,22,12,10,
2000 to 2005,188,60-64,12,7,5,14,8,6,
2000 to 2005,188,65-69,5,3,2,5,3,2,
2000 to 2005,188,70-74,3,1,2,4,2,2,
2000 to 2005,188,75-79,2,1,1,1,-1,2,
2000 to 2005,188,80-84,2,1,1,2,1,1,
2000 to 2005,188,85-89,1,0,1,2,1,1,
2000 to 2005,188,90+,0,0,0,1,0,1,
2000 to 2005,195,Total,268,144,124,307,172,135,
2000 to 2005,195,0-4,26,15,11,22,14,8,
2000 to 2005,195,5-9,20,11,9,19,12,7,
2000 to 2005,195,10-14,21,11,10,17,9,8,
2000 to 2005,195,15-19,15,8,7,30,15,15,
2000 to 2005,195,20-24,27,13,14,42,21,21,
2000 to 2005,195,25-29,35,17,18,27,16,11,
2000 to 2005,195,30-34,24,14,10,29,15,14,
2000 to 2005,195,35-39,23,13,10,24,17,7,
2000 to 2005,195,40-44,21,11,10,21,12,9,
2000 to 2005,195,45-49,19,11,8,23,13,10,
2000 to 2005,195,50-54,12,7,5,18,10,8,
2000 to 2005,195,55-59,10,5,5,16,9,7,
2000 to 2005,195,60-64,7,4,3,10,5,5,
2000 to 2005,195,65-69,2,1,1,3,2,1,
2000 to 2005,195,70-74,1,1,0,3,2,1,
2000 to 2005,195,75-79,3,2,1,0,0,0,
2000 to 2005,195,80-84,1,0,1,2,0,2,
2000 to 2005,195,85-89,1,0,1,0,0,0,
2000 to 2005,195,90+,0,0,0,1,0,1,
2000 to 2005,198,Total,559,313,246,698,382,316,
2000 to 2005,198,0-4,46,23,23,52,26,26,
2000 to 2005,198,5-9,40,20,20,49,23,26,
2000 to 2005,198,10-14,44,24,20,47,26,21,
2000 to 2005,198,15-19,44,22,22,75,37,38,
2000 to 2005,198,20-24,63,34,29,85,48,37,
2000 to 2005,198,25-29,49,27,22,53,30,23,
2000 to 2005,198,30-34,41,24,17,48,26,22,
2000 to 2005,198,35-39,40,24,16,46,26,20,
2000 to 2005,198,40-44,48,28,20,60,33,27,
2000 to 2005,198,45-49,46,25,21,54,33,21,
2000 to 2005,198,50-54,40,23,17,47,26,21,
2000 to 2005,198,55-59,22,14,8,31,18,13,
2000 to 2005,198,60-64,18,13,5,24,15,9,
2000 to 2005,198,65-69,7,5,2,11,7,4,
2000 to 2005,198,70-74,3,2,1,5,3,2,
2000 to 2005,198,75-79,3,2,1,5,2,3,
2000 to 2005,198,80-84,4,2,2,4,3,1,
2000 to 2005,198,85-89,1,1,0,1,0,1,
2000 to 2005,198,90+,0,0,0,1,0,1,
2000 to 2005,220,Total,851,436,415,881,463,418,
2000 to 2005,220,0-4,75,37,38,72,40,32,
2000 to 2005,220,5-9,63,31,32,58,28,30,
2000 to 2005,220,10-14,49,25,24,56,27,29,
2000 to 2005,220,15-19,59,27,32,76,37,39,
2000 to 2005,220,20-24,102,48,54,111,61,50,
2000 to 2005,220,25-29,104,52,52,84,43,41,
2000 to 2005,220,30-34,79,42,37,70,37,33,
2000 to 2005,220,35-39,69,37,32,75,40,35,
2000 to 2005,220,40-44,65,36,29,66,38,28,
2000 to 2005,220,45-49,54,31,23,63,33,30,
2000 to 2005,220,50-54,48,25,23,49,23,26,
2000 to 2005,220,55-59,29,17,12,35,20,15,
2000 to 2005,220,60-64,17,9,8,27,15,12,
2000 to 2005,220,65-69,13,8,5,17,10,7,
2000 to 2005,220,70-74,8,4,4,11,6,5,
2000 to 2005,220,75-79,5,2,3,5,2,3,
2000 to 2005,220,80-84,7,3,4,2,1,1,
2000 to 2005,220,85-89,3,1,2,2,1,1,
2000 to 2005,220,90+,2,1,1,2,1,1,
2000 to 2005,230,Total,86,44,42,94,50,44,
2000 to 2005,230,0-4,2,1,1,5,3,2,
2000 to 2005,230,5-9,3,1,2,5,2,3,
2000 to 2005,230,10-14,5,3,2,4,2,2,
2000 to 2005,230,15-19,3,1,2,6,3,3,
2000 to 2005,230,20-24,9,4,5,8,4,4,
2000 to 2005,230,25-29,17,9,8,11,6,5,
2000 to 2005,230,30-34,13,8,5,13,7,6,
2000 to 2005,230,35-39,6,3,3,7,4,3,
2000 to 2005,230,40-44,5,2,3,8,4,4,
2000 to 2005,230,45-49,7,3,4,6,3,3,
2000 to 2005,230,50-54,7,5,2,6,4,2,
2000 to 2005,230,55-59,4,2,2,6,3,3,
2000 to 2005,230,60-64,2,1,1,2,1,1,
2000 to 2005,230,65-69,2,1,1,3,2,1,
2000 to 2005,230,70-74,1,0,1,2,1,1,
2000 to 2005,230,75-79,0,0,0,0,0,0,
2000 to 2005,230,80-84,0,0,0,1,1,0,
2000 to 2005,230,85-89,0,0,0,1,0,1,
2000 to 2005,230,90+,0,0,0,0,0,0,
2000 to 2005,240,Total,668,368,300,696,376,320,
2000 to 2005,240,0-4,67,33,34,64,31,33,
2000 to 2005,240,5-9,62,29,33,53,29,24,
2000 to 2005,240,10-14,61,35,26,46,22,24,
2000 to 2005,240,15-19,51,29,22,68,37,31,
2000 to 2005,240,20-24,65,36,29,103,56,47,
2000 to 2005,240,25-29,53,28,25,59,33,26,
2000 to 2005,240,30-34,51,27,24,47,27,20,
2000 to 2005,240,35-39,55,32,23,37,21,16,
2000 to 2005,240,40-44,49,29,20,48,27,21,
2000 to 2005,240,45-49,52,29,23,51,27,24,
2000 to 2005,240,50-54,35,21,14,41,21,20,
2000 to 2005,240,55-59,27,16,11,30,18,12,
2000 to 2005,240,60-64,18,11,7,21,12,9,
2000 to 2005,240,65-69,9,7,2,13,8,5,
2000 to 2005,240,70-74,5,3,2,5,3,2,
2000 to 2005,240,75-79,5,2,3,7,4,3,
2000 to 2005,240,80-84,2,1,1,2,0,2,
2000 to 2005,240,85-89,0,0,0,1,0,1,
2000 to 2005,240,90+,1,0,1,0,0,0,
2000 to 2005,275,Total,173,97,76,217,118,99,
2000 to 2005,275,0-4,16,9,7,20,11,9,
2000 to 2005,275,5-9,11,6,5,14,7,7,
2000 to 2005,275,10-14,13,7,6,16,9,7,
2000 to 2005,275,15-19,12,6,6,22,10,12,
2000 to 2005,275,20-24,16,9,7,27,15,12,
2000 to 2005,275,25-29,14,7,7,16,9,7,
2000 to 2005,275,30-34,13,7,6,13,6,7,
2000 to 2005,275,35-39,12,8,4,14,8,6,
2000 to 2005,275,40-44,14,8,6,15,8,7,
2000 to 2005,275,45-49,15,9,6,17,10,7,
2000 to 2005,275,50-54,13,7,6,13,7,6,
2000 to 2005,275,55-59,7,4,3,9,6,3,
2000 to 2005,275,60-64,7,4,3,7,4,3,
2000 to 2005,275,65-69,4,2,2,5,3,2,
2000 to 2005,275,70-74,2,2,0,3,1,2,
2000 to 2005,275,75-79,2,1,1,1,1,0,
2000 to 2005,275,80-84,2,1,1,3,2,1,
2000 to 2005,275,85-89,0,0,0,2,1,1,
2000 to 2005,275,90+,0,0,0,0,0,0,
2000 to 2005,282,Total,65,35,30,81,51,30,
2000 to 2005,282,0-4,3,1,2,3,2,1,
2000 to 2005,282,5-9,4,2,2,4,3,1,
2000 to 2005,282,10-14,5,2,3,5,3,2,
2000 to 2005,282,15-19,4,2,2,7,4,3,
2000 to 2005,282,20-24,7,5,2,9,6,3,
2000 to 2005,282,25-29,6,3,3,6,3,3,
2000 to 2005,282,30-34,7,3,4,7,4,3,
2000 to 2005,282,35-39,5,3,2,7,4,3,
2000 to 2005,282,40-44,6,4,2,6,4,2,
2000 to 2005,282,45-49,7,4,3,8,6,2,
2000 to 2005,282,50-54,5,3,2,9,5,4,
2000 to 2005,282,55-59,4,2,2,5,3,2,
2000 to 2005,282,60-64,1,1,0,2,1,1,
2000 to 2005,282,65-69,0,0,0,2,2,0,
2000 to 2005,282,70-74,1,0,1,0,0,0,
2000 to 2005,282,75-79,0,0,0,1,1,0,
2000 to 2005,282,80-84,0,0,0,0,0,0,
2000 to 2005,282,85-89,0,0,0,0,0,0,
2000 to 2005,282,90+,0,0,0,0,0,0,
2000 to 2005,290,Total,662,368,294,796,445,351,
2000 to 2005,290,0-4,68,33,35,82,43,39,
2000 to 2005,290,5-9,47,26,21,55,28,27,
2000 to 2005,290,10-14,52,26,26,55,28,27,
2000 to 2005,290,15-19,52,28,24,77,37,40,
2000 to 2005,290,20-24,66,38,28,95,53,42,
2000 to 2005,290,25-29,60,32,28,63,38,25,
2000 to 2005,290,30-34,57,32,25,50,28,22,
2000 to 2005,290,35-39,57,34,23,64,40,24,
2000 to 2005,290,40-44,50,30,20,61,34,27,
2000 to 2005,290,45-49,47,29,18,54,34,20,
2000 to 2005,290,50-54,44,23,21,49,28,21,
2000 to 2005,290,55-59,31,18,13,36,23,13,
2000 to 2005,290,60-64,11,6,5,17,10,7,
2000 to 2005,290,65-69,7,5,2,14,9,5,
2000 to 2005,290,70-74,6,4,2,8,4,4,
2000 to 2005,290,75-79,3,2,1,7,4,3,
2000 to 2005,290,80-84,1,0,1,4,1,3,
2000 to 2005,290,85-89,2,1,1,3,2,1,
2000 to 2005,290,90+,1,1,0,2,1,1,
1995 to 2000,000,Total,40353,21882,18471,42325,22847,19478,
1995 to 2000,000,0-4,4075,2085,1990,3938,2023,1915,
1995 to 2000,000,5-9,3477,1775,1702,3529,1817,1712,
1995 to 2000,000,10-14,2854,1515,1339,2986,1521,1465,
1995 to 2000,000,15-19,2383,1272,1111,3258,1706,1552,
1995 to 2000,000,20-24,4669,2534,2135,4840,2654,2186,
1995 to 2000,000,25-29,5320,2905,2415,4548,2491,2057,
1995 to 2000,000,30-34,4738,2632,2106,4266,2324,1942,
1995 to 2000,000,35-39,4073,2322,1751,4125,2337,1788,
1995 to 2000,000,40-44,2992,1707,1285,3223,1801,1422,
1995 to 2000,000,45-49,2081,1182,899,2510,1394,1116,
1995 to 2000,000,50-54,1367,773,594,1870,1016,854,
1995 to 2000,000,55-59,867,480,387,1332,738,594,
1995 to 2000,000,60-64,540,296,244,849,486,363,
1995 to 2000,000,65-69,340,175,165,445,241,204,
1995 to 2000,000,70-74,217,102,115,241,123,118,
1995 to 2000,000,75-79,168,69,99,177,92,85,
1995 to 2000,000,80-84,103,33,70,91,38,53,
1995 to 2000,000,85-89,59,17,42,50,26,24,
1995 to 2000,000,90+,30,8,22,47,19,28,
1995 to 2000,013,Total,170,99,71,103,60,43,
1995 to 2000,013,0-4,9,4,5,6,4,2,
1995 to 2000,013,5-9,10,5,5,8,3,5,
1995 to 2000,013,10-14,8,4,4,9,4,5,
1995 to 2000,013,15-19,11,7,4,8,5,3,
1995 to 2000,013,20-24,18,10,8,9,6,3,
1995 to 2000,013,25-29,17,9,8,10,6,4,
1995 to 2000,013,30-34,23,15,8,9,6,3,
1995 to 2000,013,35-39,21,13,8,12,7,5,
1995 to 2000,013,40-44,14,9,5,8,5,3,
1995 to 2000,013,45-49,17,9,8,8,5,3,
1995 to 2000,013,50-54,12,8,4,5,3,2,
1995 to 2000,013,55-59,7,4,3,4,2,2,
1995 to 2000,013,60-64,2,1,1,3,2,1,
1995 to 2000,013,65-69,1,1,0,1,1,0,
1995 to 2000,013,70-74,0,0,0,2,1,1,
1995 to 2000,013,75-79,0,0,0,1,0,1,
1995 to 2000,013,80-84,0,0,0,0,0,0,
1995 to 2000,013,85-89,0,0,0,0,0,0,
1995 to 2000,013,90+,0,0,0,0,0,0,
1995 to 2000,016,Total,525,309,216,600,347,253,
1995 to 2000,016,0-4,35,21,14,46,25,21,
1995 to 2000,016,5-9,29,17,12,41,23,18,
1995 to 2000,016,10-14,26,12,14,36,18,18,
1995 to 2000,016,15-19,26,12,14,40,18,22,
1995 to 2000,016,20-24,47,26,21,45,22,23,
1995 to 2000,016,25-29,58,35,23,57,34,23,
1995 to 2000,016,30-34,70,43,27,71,43,28,
1995 to 2000,016,35-39,68,42,26,70,44,26,
1995 to 2000,016,40-44,60,39,21,61,39,22,
1995 to 2000,016,45-49,48,28,20,54,33,21,
