"Borough/Census Area FIPS","Year","Age","Total","Male","Female","Data from: https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/estimates/data/AgeBySexBCA_2000to2010.xls via https://web.archive.org/web/20210611231927/https://live.laborstats.alaska.gov/pop/index.cfm March 2023 "
"050",2001,"75-79",152,79,73,
"050",2001,"80-84",95,41,54,
"050",2001,"85+",75,31,44,
"060",2001,"0-4",82,46,36,
"060",2001,"5-9",91,40,51,
"060",2001,"10-14",125,65,60,
"060",2001,"15-19",101,51,50,
"060",2001,"20-24",36,21,15,
"060",2001,"25-29",43,25,18,
"060",2001,"30-34",63,35,28,
"060",2001,"35-39",115,57,58,
"060",2001,"40-44",167,100,67,
"060",2001,"45-49",116,62,54,
"060",2001,"50-54",99,60,39,
"060",2001,"55-59",51,31,20,
"060",2001,"60-64",33,19,14,
"060",2001,"65-69",26,16,10,
"060",2001,"70-74",14,10,4,
"060",2001,"75-79",9,4,5,
"060",2001,"80-84",3,2,1,
"060",2001,"85+",3,1,2,
"068",2001,"0-4",97,54,43,
"068",2001,"5-9",108,54,54,
"068",2001,"10-14",154,87,67,
"068",2001,"15-19",131,68,63,
"068",2001,"20-24",77,52,25,
"068",2001,"25-29",123,68,55,
"068",2001,"30-34",144,85,59,
"068",2001,"35-39",170,98,72,
"068",2001,"40-44",234,130,104,
"068",2001,"45-49",247,147,100,
"068",2001,"50-54",170,105,65,
"068",2001,"55-59",100,64,36,
"068",2001,"60-64",79,51,28,
"068",2001,"65-69",26,17,9,
"068",2001,"70-74",13,8,5,
"068",2001,"75-79",6,4,2,
"068",2001,"80-84",5,4,1,
"068",2001,"85+",5,0,5,
"070",2001,"0-4",444,230,214,
"070",2001,"5-9",522,294,228,
"070",2001,"10-14",595,295,300,
"070",2001,"15-19",442,233,209,
"070",2001,"20-24",245,133,112,
"070",2001,"25-29",247,125,122,
"070",2001,"30-34",295,152,143,
"070",2001,"35-39",436,230,206,
"070",2001,"40-44",375,195,180,
"070",2001,"45-49",395,206,189,
"070",2001,"50-54",269,132,137,
"070",2001,"55-59",209,114,95,
"070",2001,"60-64",136,71,65,
"070",2001,"65-69",84,47,37,
"070",2001,"70-74",92,47,45,
"070",2001,"75-79",54,26,28,
"070",2001,"80-84",21,9,12,
"070",2001,"85+",24,11,13,
"090",2001,"0-4",6832,3463,3369,
"090",2001,"5-9",6675,3370,3305,
"090",2001,"10-14",7167,3638,3529,
"090",2001,"15-19",6676,3561,3115,
"090",2001,"20-24",7671,4309,3362,
"090",2001,"25-29",7284,3980,3304,
"090",2001,"30-34",6470,3338,3132,
"090",2001,"35-39",6848,3513,3335,
"090",2001,"40-44",6929,3449,3480,
"090",2001,"45-49",6545,3327,3218,
"090",2001,"50-54",5399,2993,2406,
"090",2001,"55-59",3301,1783,1518,
"090",2001,"60-64",2117,1117,1000,
"090",2001,"65-69",1341,713,628,
"090",2001,"70-74",1102,566,536,
"090",2001,"75-79",746,327,419,
"090",2001,"80-84",453,188,265,
"090",2001,"85+",316,123,193,
"100",2001,"0-4",119,59,60,
"100",2001,"5-9",147,74,73,
"100",2001,"10-14",199,98,101,
"100",2001,"15-19",195,104,91,
"100",2001,"20-24",81,43,38,
"100",2001,"25-29",76,29,47,
"100",2001,"30-34",141,70,71,
"100",2001,"35-39",173,77,96,
"100",2001,"40-44",232,125,107,
"100",2001,"45-49",265,144,121,
"100",2001,"50-54",262,139,123,
"100",2001,"55-59",160,73,87,
"100",2001,"60-64",92,48,44,
"100",2001,"65-69",85,44,41,
