"FIPS","AreaName","AgeNumber","Age","Total_In2015to2020","Male_In2015to2020","Female_In2015to2020","Total_Out2015to2020","Male_Out2015to2020","Female_Out2015to2020","Total_Net2015to2020","Male_Net2015to2020","Female_Net2015to2020","Total_In2010to2015","Male_In2010to2015","Female_In2010to2015","Total_Out2010to2015","Male_Out2010to2015","Female_Out2010to2015","Total_Net2010to2015","Male_Net2010to2015","Female_Net2010to2015","Total_In2005to2010","Male_In2005to2010","Female_In2005to2010","Total_Out2005to2010","Male_Out2005to2010","Female_Out2005to2010","Total_Net2005to2010","Male_Net2005to2010","Female_Net2005to2010","Total_In2000to2005","Male_In2000to2005","Female_In2000to2005","Total_Out2000to2005","Male_Out2000to2005","Female_Out2000to2005","Total_Net2000to2005","Male_Net2000to2005","Female_Net2000to2005","Total_In1995to2000","Male_In1995to2000","Female_In1995to2000","Total_Out1995to2000","Male_Out1995to2000","Female_Out1995to2000","Total_Net1995to2000","Male_Net1995to2000","Female_Net1995to2000","Total_In1990to1995","Male_In1990to1995","Female_In1990to1995","Total_Out1990to1995","Male_Out1990to1995","Female_Out1990to1995","Total_Net1990to1995","Male_Net1990to1995","Female_Net1990to1995","Total_In1985to1990","Male_In1985to1990","Female_In1985to1990","Total_Out1985to1990","Male_Out1985to1990","Female_Out1985to1990","Total_Net1985to1990","Male_Net1985to1990","Female_Net1985to1990"
"016","Aleutians West Census Area",7,"30-34",33,19,14,30,16,14,3,3,0,41,25,16,36,20,16,5,5,0,38,24,14,27,15,12,11,9,2,47,27,20,39,24,15,8,3,5,70,43,27,71,43,28,-1,0,-1,105,65,40,225,143,82,-120,-78,-42,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",8,"35-39",27,16,11,30,18,12,-3,-2,-1,40,26,14,38,27,11,2,-1,3,45,30,15,45,28,17,0,2,-2,49,32,17,50,33,17,-1,-1,0,68,42,26,70,44,26,-2,-2,0,92,63,29,219,146,73,-127,-83,-44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",9,"40-44",28,19,9,25,16,9,3,3,0,38,27,11,37,26,11,1,1,0,52,36,16,44,31,13,8,5,3,48,32,16,50,30,20,-2,2,-4,60,39,21,61,39,22,-1,0,-1,74,45,29,163,99,64,-89,-54,-35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",10,"45-49",25,15,10,20,14,6,5,1,4,36,26,10,41,28,13,-5,-2,-3,42,29,13,36,21,15,6,8,-2,40,26,14,46,32,14,-6,-6,0,48,28,20,54,33,21,-6,-5,-1,50,31,19,114,70,44,-64,-39,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",11,"50-54",29,18,11,30,21,9,-1,-3,2,36,23,13,43,29,14,-7,-6,-1,34,20,14,39,24,15,-5,-4,-1,33,22,11,32,20,12,1,2,-1,27,16,11,36,22,14,-9,-6,-3,31,21,10,79,47,32,-48,-26,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",12,"55-59",26,15,11,29,17,12,-3,-2,-1,31,20,11,33,21,12,-2,-1,-1,30,17,13,28,17,11,2,0,2,16,10,6,23,16,7,-7,-6,-1,19,11,8,22,12,10,-3,-1,-2,15,9,6,44,29,15,-29,-20,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",13,"60-64",14,8,6,26,16,10,-12,-8,-4,21,14,7,29,19,10,-8,-5,-3,14,8,6,16,9,7,-2,-1,-1,10,6,4,14,7,7,-4,-1,-3,9,5,4,14,10,4,-5,-5,0,8,5,3,27,18,9,-19,-13,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",14,"65-69",9,6,3,21,11,10,-12,-5,-7,10,7,3,16,11,5,-6,-4,-2,6,4,2,12,8,4,-6,-4,-2,3,2,1,8,5,3,-5,-3,-2,2,1,1,6,3,3,-4,-2,-2,2,1,1,12,6,6,-10,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",15,"70-74",3,2,1,9,6,3,-6,-4,-2,3,2,1,5,3,2,-2,-1,-1,2,1,1,3,2,1,-1,-1,0,2,1,1,0,0,0,2,1,1,1,1,0,0,0,0,1,1,0,1,1,0,6,3,3,-5,-2,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"016","Aleutians West Census Area",16,"75-79",0,0,0,4,2,2,-4,-2,-2,0,0,0,2,1,1,-2,-1,-1,1,1,0,1,0,1,0,1,-1,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,0,-2,-3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
